Date,Open,High,Low,Adj Close,Volume,Stock Name
06-11-2020,66.449997,67.25,66.43,66.400391,134500,DR.REDDY
09-11-2020,67.169998,67.169998,64.120003,64.110725,158800,DR.REDDY
10-11-2020,64.089996,64.089996,62.650002,62.677193,242300,DR.REDDY
11-11-2020,64.989998,65.57,64.300003,64.200317,242500,DR.REDDY
12-11-2020,64.400002,64.410004,64.050003,63.981304,112600,DR.REDDY
13-11-2020,64.769997,65.080002,64.18,64.060944,147600,DR.REDDY
16-11-2020,64.050003,64.050003,63.52,63.603016,164200,DR.REDDY
17-11-2020,63.490002,63.869999,62.599998,63.045532,290300,DR.REDDY
18-11-2020,62.869999,63.240002,62.419998,62.328766,187000,DR.REDDY
19-11-2020,62.939999,63.439999,62.470001,62.756832,151000,DR.REDDY
20-11-2020,63.029999,63.18,62.549999,62.736923,92900,DR.REDDY
23-11-2020,64.199997,64.860001,63.939999,63.772247,222700,DR.REDDY
24-11-2020,65.5,65.730003,65.230003,65.235649,271000,DR.REDDY
25-11-2020,64.589996,64.589996,63.889999,64.041039,151100,DR.REDDY
27-11-2020,64.739998,65.57,64.68,65.07637,90500,DR.REDDY
30-11-2020,65.5,65.769997,65.059998,65.295372,152600,DR.REDDY
01-12-2020,65.419998,65.910004,65.089996,65.54425,114300,DR.REDDY
02-12-2020,65.639999,65.800003,65.269997,65.195824,120800,DR.REDDY
03-12-2020,66.190002,66.43,65.730003,65.574127,213100,DR.REDDY
04-12-2020,65.970001,66.339996,65.900002,65.713493,127100,DR.REDDY
07-12-2020,67.510002,67.900002,67.459999,67.296349,124300,DR.REDDY
08-12-2020,67.480003,67.970001,67.480003,67.445679,108900,DR.REDDY
09-12-2020,67.93,68.370003,67.260002,67.69455,181000,DR.REDDY
10-12-2020,68.129997,68.540001,67.779999,68.023071,87900,DR.REDDY
11-12-2020,67.959999,68.559998,67.809998,67.933472,76700,DR.REDDY
14-12-2020,68.589996,68.809998,68.019997,67.714462,74800,DR.REDDY
15-12-2020,68.330002,68.489998,67.68,68.152489,138500,DR.REDDY
16-12-2020,68.5,68.870003,67.900002,67.774193,82900,DR.REDDY
17-12-2020,68.75,69.129997,68.550003,68.46109,147000,DR.REDDY
18-12-2020,70.400002,70.779999,69.709999,70.223145,334900,DR.REDDY
21-12-2020,68.790001,69.290001,67.769997,67.873741,134800,DR.REDDY
22-12-2020,69.080002,69.779999,69.080002,68.998665,167500,DR.REDDY
23-12-2020,70.010002,70.519997,69.68,70.063858,147600,DR.REDDY
24-12-2020,70.120003,70.720001,70.120003,70.11364,34700,DR.REDDY
28-12-2020,70.529999,71,70.059998,70.103683,37600,DR.REDDY
29-12-2020,70.199997,70.379997,69.690002,69.824944,52200,DR.REDDY
30-12-2020,70.480003,70.970001,70.449997,70.422241,77100,DR.REDDY
31-12-2020,70.980003,71.43,70.410004,70.969772,46300,DR.REDDY
04-01-2021,73.389999,73.389999,70.529999,70.900093,213000,DR.REDDY
05-01-2021,71.410004,72.089996,71.110001,71.756226,139600,DR.REDDY
